"Updated September 8, ,2010",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Muni Code,Municipality,County,Petition Date,Certification Date,Rehab Share Obligation,Rehab Adjust,Net Rehab,Rehab Complete,Rehab Proposed,Rehab addressed thru New Construction,Prior Round Obligation,Prior Round Adjustment,Net Prior Round Obligation,Unmet Need,Prior Round Complete**,Prior Round Proposed,Bonuses,Growth Share Obligation,Growth Share Adjustment,Net Growth Share Obligation,Growth Share Complete,Growth Share Proposed,Bonuses
,,,,,,,,,,,,,,,,,,,,,,,
0201,Allendale Borough,Bergen,12/31/08,10/14/09,4,0,4,0,4,0,137,0,137,0,71,35,34,54,-34,20,0,20,0
0208,Cresskill Borough,Bergen,12/30/08,09/08/10,26,0,26,0,26,0,70,0,70,0,52,0,18,50,0,50,19,21,10
0209,Demarest Borough,Bergen,12/30/08,03/10/10,4,0,4,1,3,0,66,-43,23,33,13,15,5,47,-27,20,0,15,5
0253,River Vale Township,Bergen,12/18/08,03/10/10,0,0,0,0,0,0,121,0,121,0,48,43,30,53,-25,28,0,32,7
0255,Rockleigh Borough,Bergen,12/31/08,11/12/09,1,0,1,0,1,0,84,-72,12,0,9,0,3,31,-16,15,12,10,0
0259,South Hackensack Township,Bergen,12/31/08,08/12/09,10,0,10,1,9,0,50,-49,1,49,0,1,0,40,-30,10,0,10,0
0302,Beverly City,Burlington,12/30/08,06/10/09,16,0,16,12,0,4,18,-18,0*,18,16,0,0,16,63,79,24,64,0
0311,Eastampton Township,Burlington,12/22/08,05/14/09,17,0,17,0,13,4,49,0,49,0,37,0,12,73,0,73,59,0,18
0315,Florence Township,Burlington,12/31/08,07/08/09,36,0,36,5,31,0,114,0,114,0,88,0,28,158,0,158,62,86,17.75
0326,North Hanover Township,Burlington,12/30/08,05/14/09,16,0,16,2,0,14,1,0,1,0,1,0,0,21,0,21,113,0,0
0327,Palmyra Borough,Burlington,12/30/08,09/09/09,20,0,20,7,13,0,39,0,39,0,19,15,5,180,0,180,0,136,44
0334,Springfield Township,Burlington,12/30/08,06/10/09,3,0,3,5,0,0,54,0,54,0,42,3,9,46,-1,45,6,29,11
0412,Collingswood Borough,Camden,12/30/08,09/09/09,105,0,105,39,66,0,0,0,0,0,0,0,0,45,0,45,2,33,10
0417,Haddonfield Borough,Camden,12/31/08,03/10/10,29,0,29,0,29,0,192,-155,37,66,24,93,9,15,-15,0,5,18,0
0427,Pennsauken Township,Camden,12/22/08,06/10/09,203,0,203,80,123,0,0,0,0,0,0,0,0,359,0,359,359,0,0
