CURRENT DATE: 03/18/2021,INDEX CRIMES BY COUNTY FOR JAN - 2020 TO DEC - 2020,,,,,,,,,PAGE: 4,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0040200,AUDUBON PARK PD,997,,,,,,,,,
,Number of Offenses,,0,0,1,1,4,10,0,16,12
,"Rate Per 100,000",,0,0,100.3,100.3,401.2,"1,003.0",0,"1,604.8",
,Number of Clearances,,0,0,0,1,2,3,0,6,
,Percent Cleared,,0,0,0,100,50,30,0,38,
,Number of Arrests,,0,0,0,2,4,11,0,17,
NJ0040100,AUDUBON PD,8599,,,,,,,,,
,Number of Offenses,,0,0,6,10,9,268,4,297,12
,"Rate Per 100,000",,0,0,69.8,116.3,104.7,"3,116.6",46.5,"3,453.9",
,Number of Clearances,,0,0,2,9,2,56,1,70,
,Percent Cleared,,0,0,33,90,22,21,25,24,
,Number of Arrests,,0,0,3,8,4,53,3,71,
NJ0040300,BARRINGTON PD,6661,,,,,,,,,
,Number of Offenses,,0,0,1,5,10,47,5,68,12
,"Rate Per 100,000",,0,0,15.0,75.1,150.1,705.6,75.1,"1,020.9",
,Number of Clearances,,0,0,0,3,0,3,0,6,
,Percent Cleared,,0,0,0,60,0,6,0,9,
,Number of Arrests,,0,0,0,6,4,4,1,15,
NJ0040400,BELLMAWR PD,11312,,,,,,,,,
,Number of Offenses,,0,0,1,10,9,159,9,188,12
,"Rate Per 100,000",,0,0,8.8,88.4,79.6,"1,405.6",79.6,"1,662.0",
,Number of Clearances,,0,0,0,8,2,26,0,36,
,Percent Cleared,,0,0,0,80,22,16,0,19,
,Number of Arrests,,0,0,0,11,2,28,4,45,
NJ0040500,BERLIN BORO PD,7495,,,,,,,,,
,Number of Offenses,,0,1,1,7,10,93,2,114,12
,"Rate Per 100,000",,0,13.3,13.3,93.4,133.4,"1,240.8",26.7,"1,521.0",
,Number of Clearances,,0,1,1,7,6,17,2,34,
,Percent Cleared,,0,100,100,100,60,18,100,30,
,Number of Arrests,,0,1,1,6,6,20,5,39,
NJ0040600,BERLIN TWP PD,5532,,,,,,,,,
,Number of Offenses,,0,0,1,5,7,179,2,194,12
,"Rate Per 100,000",,0,0,18.1,90.4,126.5,"3,235.7",36.2,"3,506.9",
,Number of Clearances,,0,0,1,5,0,84,0,90,
,Percent Cleared,,0,0,100,100,0,47,0,46,
,Number of Arrests,,0,0,1,4,2,100,0,107,
NJ0040700,BROOKLAWN PD,1904,,,,,,,,,
,Number of Offenses,,0,1,7,4,13,130,7,162,12
,"Rate Per 100,000",,0,52.5,367.6,210.1,682.8,"6,827.7",367.6,"8,508.4",
,Number of Clearances,,0,1,4,3,2,40,2,52,
,Percent Cleared,,0,100,57,75,15,31,29,32,
,Number of Arrests,,0,1,4,4,1,39,1,50,
NJ0048900,CAMDEN CO PROSECUTOR'S OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,
,Number of Clearances,,0,0,0,0,0,0,0,0,
,Percent Cleared,,0,0,0,0,0,0,0,0,
,Number of Arrests,,0,0,0,0,0,0,0,0,
NJ0040000,CAMDEN CO SHERIFF'S DEPT,0,,,,,,,,,
,Number of Offenses,,0,0,1,1,0,11,0,13,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,
,Number of Clearances,,0,0,1,1,0,7,0,9,
,Percent Cleared,,0,0,100,100,0,64,0,69,
,Number of Arrests,,0,0,1,1,0,7,0,9,
NJ0040800,CAMDEN PD,73140,,,,,,,,,
,Number of Offenses,,23,55,222,872,252,962,365,2751,12
,"Rate Per 100,000",,31.4,75.2,303.5,"1,192.2",344.5,"1,315.3",499.0,"3,761.3",
,Number of Clearances,,23,18,105,403,23,150,21,743,
,Percent Cleared,,100,33,47,46,9,16,6,27,
,Number of Arrests,,18,17,111,328,21,111,21,627,
NJ0041200,CHERRY HILL TWP PD,70578,,,,,,,,,
,Number of Offenses,,0,2,31,51,93,1391,61,1629,12
,"Rate Per 100,000",,0,2.8,43.9,72.3,131.8,"1,970.9",86.4,"2,308.1",
,Number of Clearances,,0,2,18,55,18,360,17,470,
,Percent Cleared,,0,100,58,108,19,26,28,29,
,Number of Arrests,,0,1,22,59,10,334,29,455,
NJ0040900,CHESILHURST PD,1617,,,,,,,,,
,Number of Offenses,,0,1,0,2,12,21,6,42,12
,"Rate Per 100,000",,0,61.8,0,123.7,742.1,"1,298.7",371.1,"2,597.4",
,Number of Clearances,,0,1,0,2,1,2,5,11,
,Percent Cleared,,0,100,0,100,8,10,83,26,
,Number of Arrests,,0,1,0,2,1,2,0,6,
NJ0041000,CLEMENTON BORO PD,4887,,,,,,,,,
,Number of Offenses,,0,0,1,3,22,53,1,80,12
,"Rate Per 100,000",,0,0,20.5,61.4,450.2,"1,084.5",20.5,"1,637.0",
,Number of Clearances,,0,0,1,1,4,3,0,9,
,Percent Cleared,,0,0,100,33,18,6,0,11,
,Number of Arrests,,0,0,1,3,5,2,0,11,
NJ0041100,COLLINGSWOOD PD,13843,,,,,,,,,
,Number of Offenses,,0,3,10,13,53,271,11,361,12
,"Rate Per 100,000",,0,21.7,72.2,93.9,382.9,"1,957.7",79.5,"2,607.8",
,Number of Clearances,,0,3,6,12,6,27,3,57,
,Percent Cleared,,0,100,60,92,11,10,27,16,
,Number of Arrests,,0,3,6,12,6,28,3,58,
NJNDRPA00,DELAWARE RIVER PORT AUTHORITY,0,,,,,,,,,
,Number of Offenses,,0,0,1,5,0,32,1,39,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,
,Number of Clearances,,0,0,1,4,0,6,0,11,
,Percent Cleared,,0,0,100,80,0,19,0,28,
,Number of Arrests,,0,1,0,6,0,5,2,14,
NJ0041300,GIBBSBORO PD,2211,,,,,,,,,
,Number of Offenses,,0,0,0,2,4,18,0,24,12
,"Rate Per 100,000",,0,0,0,90.5,180.9,814.1,0,"1,085.5",
,Number of Clearances,,0,0,0,2,0,0,0,2,
,Percent Cleared,,0,0,0,100,0,0,0,8,
,Number of Arrests,,0,0,0,2,1,0,0,3,
NJ0041400,GLOUCESTER CITY PD,11167,,,,,,,,,
,Number of Offenses,,0,0,5,10,40,223,7,285,12
