ID,TAX CODE,BLOCK NUMBER,LOT NUMBER,PAMS PIN,DCA MUNI CODE,MUNICIPALITY,USE GROUP,Use Group Label,DATE ISSUED,TYPE,WORK VALUE,YCOORD,XCOORD,MATCH TYPE
1,0101,236,2.01,0101_236_2.01,0101,ABSECON CITY,M,Mercantile,1/31/22,NEW,"695,000",39.42626,-74.50651,Geocoded MOD-IV Address
2,0101,9.02,3.01,0101_9.02_3.01,0101,ABSECON CITY,E,Educational,5/19/22,ALT,"4,000,000",39.43838,-74.49508,MODIV Parcel Centroid Coordinate
3,0102,1,146,0102_1_146,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",2/11/22,ALT,"2,100,000",39.35812,-74.41946,MODIV Parcel Centroid Coordinate
4,0102,1,146,0102_1_146,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),2/7/22,ALT,"2,100,000",39.35812,-74.41946,MODIV Parcel Centroid Coordinate
5,0102,1,42,0102_1_42,0102,ATLANTIC CITY,A-3,"Churches, Libraries, Arcades, Comm. Halls, Gyms",6/2/22,ALT,"337,400",39.34857,-74.44706,MODIV Parcel Centroid Coordinate
6,0102,1,42,0102_1_42,0102,ATLANTIC CITY,A-3,"Churches, Libraries, Arcades, Comm. Halls, Gyms",6/27/22,ALT,"2,217,000",39.34857,-74.44706,MODIV Parcel Centroid Coordinate
7,0102,151,15,0102_151_15,0102,ATLANTIC CITY,R-2,Residential (Multifamily),10/21/22,ALT,"555,200",39.36081,-74.42922,MODIV Parcel Centroid Coordinate
8,0102,157,21.04,0102_157_21.04,0102,ATLANTIC CITY,B,Business,3/18/22,ALT,"2,076,500",39.35943,-74.43412,Geocoded MOD-IV Address
9,0102,157,21.04,0102_157_21.04,0102,ATLANTIC CITY,B,Business,10/13/22,NEW,"1,700,000",39.35943,-74.43412,Geocoded MOD-IV Address
10,0102,157,37,0102_157_37,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),4/26/22,ALT,"258,000",39.35926,-74.43393,MODIV Parcel Centroid Coordinate
11,0102,159,1.02,0102_159_1.02,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",4/11/22,ADD,"3,801,000",39.35889,-74.43559,Geocoded MOD-IV Address
12,0102,161,1.02,0102_161_1.02,0102,ATLANTIC CITY,S-2,Storage,4/11/22,ALT,"1,447,000",39.35705,-74.43601,Geocoded MOD-IV Address
13,0102,174,8,0102_174_8,0102,ATLANTIC CITY,B,Business,7/18/22,ALT,"487,500",39.35467,-74.44468,MODIV Parcel Centroid Coordinate
14,0102,175,3,0102_175_3,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),3/10/22,ALT,"604,000",39.3538,-74.44571,MODIV Parcel Centroid Coordinate
15,0102,177,1,0102_177_1,0102,ATLANTIC CITY,S-2,Storage,7/25/22,ALT,"383,400",39.35333,-74.44686,MODIV Parcel Centroid Coordinate
16,0102,186,5,0102_186_5,0102,ATLANTIC CITY,R-1,"Hotel, Motel",8/30/22,NEW,"3,900,000",39.3509,-74.45251,MODIV Parcel Centroid Coordinate
17,0102,25,1,0102_25_1,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),9/26/22,ALT,"800,000",39.35039,-74.45054,MODIV Parcel Centroid Coordinate
18,0102,294,1,0102_294_1,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),12/6/22,ALT,"396,370",39.36236,-74.42907,MODIV Parcel Centroid Coordinate
19,0102,295,1,0102_295_1,0102,ATLANTIC CITY,B,Business,1/20/22,ALT,"1,374,600",39.3635,-74.42818,MODIV Parcel Centroid Coordinate
20,0102,30,2,0102_30_2,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",1/27/22,ALT,"1,675,570",39.35249,-74.4449,MODIV Parcel Centroid Coordinate
21,0102,30,2,0102_30_2,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),6/1/22,ALT,"1,120,000",39.35249,-74.4449,MODIV Parcel Centroid Coordinate
22,0102,30,2,0102_30_2,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",6/1/22,ALT,"1,120,000",39.35249,-74.4449,MODIV Parcel Centroid Coordinate
23,0102,30,2,0102_30_2,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",7/20/22,ALT,"390,000",39.35249,-74.4449,MODIV Parcel Centroid Coordinate
24,0102,30,2,0102_30_2,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",7/19/22,ALT,"450,000",39.35249,-74.4449,MODIV Parcel Centroid Coordinate
25,0102,30,2,0102_30_2,0102,ATLANTIC CITY,R-1,"Hotel, Motel",10/25/22,ALT,"1,059,900",39.35249,-74.4449,MODIV Parcel Centroid Coordinate
26,0102,30,2,0102_30_2,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",11/16/22,ALT,"1,150,000",39.35249,-74.4449,MODIV Parcel Centroid Coordinate
27,0102,333,19,0102_333_19,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),6/24/22,ALT,"1,148,870",39.36072,-74.43839,MODIV Parcel Centroid Coordinate
28,0102,333,19,0102_333_19,0102,ATLANTIC CITY,M,Mercantile,6/24/22,ALT,"1,148,870",39.36072,-74.43839,MODIV Parcel Centroid Coordinate
29,0102,336,29,0102_336_29,0102,ATLANTIC CITY,M,Mercantile,11/29/22,ALT,"586,028",39.36025,-74.43955,MODIV Parcel Centroid Coordinate
30,0102,40,6,0102_40_6,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",11/1/22,ALT,"373,492",39.35497,-74.43646,MODIV Parcel Centroid Coordinate
31,0102,404,1,0102_404_1,0102,ATLANTIC CITY,R-2,Residential (Multifamily),6/10/22,ALT,"1,090,000",39.36539,-74.43156,MODIV Parcel Centroid Coordinate
32,0102,404,1,0102_404_1,0102,ATLANTIC CITY,R-2,Residential (Multifamily),2/18/22,ALT,"1,097,000",39.36539,-74.43156,MODIV Parcel Centroid Coordinate
33,0102,407,1,0102_407_1,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),7/18/22,ALT,"608,500",39.36653,-74.42829,MODIV Parcel Centroid Coordinate
34,0102,41,1,0102_41_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",1/20/22,ALT,"4,120,570",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
