Blk_Grp_Name,Municipality,County,Jobs,JobsDensity,JobsVintage
"Essex County Tract 218.02, Block Group 3",West Caldwell Township,Essex,4376,4219.92263517085,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Essex County Tract 218.01, Block Group 2",West Caldwell Township,Essex,28,85.3859406750481,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Essex County Tract 218.02, Block Group 2",West Caldwell Township,Essex,1939,1640.63128572414,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Gloucester County Tract 5016.08, Block Group 2",Monroe Township,Gloucester,226,589.619453716204,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Gloucester County Tract 5002.03, Block Group 2",West Deptford Township,Gloucester,156,258.364615798058,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Ocean County Tract 7133, Block Group 3",Brick Township,Ocean,229,720.53593152977,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Essex County Tract 152, Block Group 1",Bloomfield Township,Essex,133,2022.06170883529,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Gloucester County Tract 5012.10, Block Group 3",Washington Township,Gloucester,102,272.950716606256,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Gloucester County Tract 5012.13, Block Group 2",Washington Township,Gloucester,212,350.935626552246,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Gloucester County Tract 5014.05, Block Group 1",Glassboro Borough,Gloucester,1349,1923.87642279718,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Gloucester County Tract 5014.05, Block Group 2",Glassboro Borough,Gloucester,198,412.323636038051,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Gloucester County Tract 5016.09, Block Group 1",Monroe Township,Gloucester,136,50.2207925108521,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Union County Tract 374, Block Group 1",Cranford Township,Union,119,1159.14728504708,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Gloucester County Tract 5016.09, Block Group 2",Monroe Township,Gloucester,113,123.315840118202,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Gloucester County Tract 5020.01, Block Group 2",Harrison Township,Gloucester,402,234.951510735268,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Burlington County Tract 7005.01, Block Group 4",Moorestown Township,Burlington,3551,6370.3601684655,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Burlington County Tract 7040.15, Block Group 2",Evesham Township,Burlington,177,124.508431716377,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Burlington County Tract 7005.05, Block Group 5",Moorestown Township,Burlington,1908,1463.96147799164,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Burlington County Tract 7010.01, Block Group 4",Edgewater Park Township,Burlington,448,587.470772720933,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Burlington County Tract 7040.16, Block Group 1",Evesham Township,Burlington,111,96.7709351182943,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Burlington County Tract 7040.16, Block Group 2",Evesham Township,Burlington,82,122.144217439387,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Burlington County Tract 7006.02, Block Group 5",Delran Township,Burlington,100,306.496849831201,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 113.06, Block Group 2",Raritan Township,Hunterdon,465,161.451352075962,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 113.06, Block Group 1",Raritan Township,Hunterdon,419,67.6655158623624,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 113.05, Block Group 2",Raritan Township,Hunterdon,285,88.1146127641183,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 102.01, Block Group 2",Lebanon Township,Hunterdon,183,19.5368277292865,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 102.02, Block Group 2",Lebanon Township,Hunterdon,214,28.460156629835,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 110.03, Block Group 1",Clinton Township,Hunterdon,594,828.508925858062,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 110.03, Block Group 3",Clinton Township,Hunterdon,1487,568.642008553231,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 101, Block Group 3",Tewksbury Township,Hunterdon,259,57.4900483130411,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 102.02, Block Group 1",Lebanon Township,Hunterdon,134,20.7182037026333,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 104, Block Group 4",Bethlehem Township,Hunterdon,235,25.7831874659991,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 110.04, Block Group 1",Clinton Township,Hunterdon,1096,89.5497198701047,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 110.03, Block Group 2",Clinton Township,Hunterdon,116,54.4688567389824,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 101, Block Group 4",Tewksbury Township,Hunterdon,393,55.0257003594757,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 106, Block Group 3",Alexandria Township,Hunterdon,621,55.2701674584713,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 106, Block Group 4",Alexandria Township,Hunterdon,134,19.9522911026557,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 112.04, Block Group 1",Readington Township,Hunterdon,761,80.1597724165712,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 111, Block Group 4",Readington Township,Hunterdon,2512,760.52754451137,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 111, Block Group 2",Readington Township,Hunterdon,2543,719.153411391475,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 102.01, Block Group 1",Lebanon Township,Hunterdon,273,33.8094768322907,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 112.03, Block Group 1",Readington Township,Hunterdon,548,130.665917463013,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 112.03, Block Group 3",Readington Township,Hunterdon,87,13.6155076646431,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
"Hunterdon County Tract 104, Block Group 2",Bloomsbury Borough,Hunterdon,595,638.103104676274,"Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics, 2019 Workplace Area Characteristics"
