Tract_Name,County,Municipality,Median_RE_Taxes,Data_Vintage, 
Somerset County Census Tract 508.01,Somerset,Bridgewater Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 524,Somerset,Bernards Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 535.01,Somerset,Franklin Township,9604,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 30.01,Middlesex,Woodbridge Township,9041,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 30.02,Middlesex,Woodbridge Township,7496,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 31.01,Middlesex,Woodbridge Township,8759,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 539.05,Somerset,Montgomery Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 507.04,Somerset,Bridgewater Township,7368,2017-2021 American Community Survey 5-Year Estimates, 
Burlington County Census Tract 7006.03,Burlington,Delran Township,7052,2017-2021 American Community Survey 5-Year Estimates, 
Burlington County Census Tract 7024,Burlington,Springfield Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Burlington County Census Tract 7028.10,Burlington,Willingboro Township,8532,2017-2021 American Community Survey 5-Year Estimates, 
Burlington County Census Tract 7014.01,Burlington,Mansfield Township,8990,2017-2021 American Community Survey 5-Year Estimates, 
Burlington County Census Tract 7011.05,Burlington,Burlington Township,7338,2017-2021 American Community Survey 5-Year Estimates, 
Burlington County Census Tract 7010.01,Burlington,Edgewater Park Township,5446,2017-2021 American Community Survey 5-Year Estimates, 
Burlington County Census Tract 7014.02,Burlington,Mansfield Township,5724,2017-2021 American Community Survey 5-Year Estimates, 
Burlington County Census Tract 7013.03,Burlington,Florence Township,7126,2017-2021 American Community Survey 5-Year Estimates, 
Burlington County Census Tract 7007.01,Burlington,Riverside Township,6247,2017-2021 American Community Survey 5-Year Estimates, 
Burlington County Census Tract 7028.07,Burlington,Willingboro Township,5668,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 33,Middlesex,Woodbridge Township,7905,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 32.03,Middlesex,Woodbridge Township,7888,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 79.08,Middlesex,Old Bridge Township,,2017-2021 American Community Survey 5-Year Estimates,No Real Estate Tax Data
Middlesex County Census Tract 79.09,Middlesex,Old Bridge Township,8678,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 79.10,Middlesex,Old Bridge Township,5640,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 412,Morris,Mountain Lakes Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 415,Morris,Denville Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
